date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:48	1870/1870	---M--	200	added ('OK')	image/png	etag:%2226bd18f-74e-53177ab939b40%22	http://www.csie.ntnu.edu.tw/~u91029/indexComputationalGeometry.png	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/indexComputationalGeometry.png	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:48	22490/22490	---M--	200	added ('OK')	text/html	etag:%2226bc4dc-57da-54c02188b9640%22	http://www.csie.ntnu.edu.tw/~u91029/Point.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Point.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:48	28615/28615	---M--	200	added ('OK')	text/html	etag:%2226bc4db-6fc7-54b8358d97ac0%22	http://www.csie.ntnu.edu.tw/~u91029/Point2.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Point2.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:50	8950/8950	---M--	200	added ('OK')	text/html	etag:%2226bcfc6-22f6-5437f61d7e640%22	http://www.csie.ntnu.edu.tw/~u91029/Shape.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Shape.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:50	10111/10111	---M--	200	added ('OK')	text/html	etag:%2226bc4da-277f-5483a5d2bae00%22	http://www.csie.ntnu.edu.tw/~u91029/Shape2.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Shape2.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:51	21920/21920	---M--	200	added ('OK')	text/html	etag:%2226bcfb7-55a0-54519052eb7c0%22	http://www.csie.ntnu.edu.tw/~u91029/Polygon.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Polygon.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:52	20317/20317	---M--	200	added ('OK')	text/html	etag:%2226bc6f6-4f5d-546352a461400%22	http://www.csie.ntnu.edu.tw/~u91029/ConvexHull.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/ConvexHull.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:52	10442/10442	---M--	200	added ('OK')	text/html	etag:%2226bc6f5-28ca-5437f27ab5240%22	http://www.csie.ntnu.edu.tw/~u91029/ConvexHull2.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/ConvexHull2.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:52	8051/8051	---M--	200	added ('OK')	text/html	etag:%2226bc710-1f73-5463514291140%22	http://www.csie.ntnu.edu.tw/~u91029/Half-planeIntersection.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Half-planeIntersection.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:52	8555/8555	---M--	200	added ('OK')	text/html	etag:%2226bcfd9-216b-5269639e7dd80%22	http://www.csie.ntnu.edu.tw/~u91029/VoronoiDiagram.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/VoronoiDiagram.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:53	14437/14437	---M--	200	added ('OK')	text/html	etag:%2226bcfd4-3865-5452aabfd4b00%22	http://www.csie.ntnu.edu.tw/~u91029/Triangulation.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Triangulation.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:54	3996/3996	---M--	200	added ('OK')	text/html	etag:%2226bcfa3-f9c-54d92c6c645c0%22	http://www.csie.ntnu.edu.tw/~u91029/Neighbor.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Neighbor.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:54	1934/1934	---M--	200	added ('OK')	image/png	etag:%2226bd195-78e-53177abb21fc0%22	http://www.csie.ntnu.edu.tw/~u91029/indexNumericalMethod.png	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/indexNumericalMethod.png	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:54	29780/29780	---M--	200	added ('OK')	text/html	etag:%2226bc707-7454-54e384b98e640%22	http://www.csie.ntnu.edu.tw/~u91029/Function2.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Function2.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:54	76916/76916	---M--	200	added ('OK')	text/html	etag:%2226bcf9d-12c74-54b51ee4cd480%22	http://www.csie.ntnu.edu.tw/~u91029/Matrix.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Matrix.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:56	15682/15682	---M--	200	added ('OK')	text/html	etag:%2226bcfc0-3d42-541ef02d42500%22	http://www.csie.ntnu.edu.tw/~u91029/RootFinding.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/RootFinding.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:56	34709/34709	---M--	200	added ('OK')	text/html	etag:%2226bd143-8795-54dab1db99040%22	http://www.csie.ntnu.edu.tw/~u91029/LinearEquation.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/LinearEquation.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:58	39459/39459	---M--	200	added ('OK')	text/html	etag:%2226bcfaa-9a23-54b4d7d75f240%22	http://www.csie.ntnu.edu.tw/~u91029/Optimization.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Optimization.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:55:58	26656/26656	---M--	200	added ('OK')	text/html	etag:%2226bc714-6820-54b5a1a6c5380%22	http://www.csie.ntnu.edu.tw/~u91029/Interpolation.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Interpolation.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:56:00	31000/31000	---M--	200	added ('OK')	text/html	etag:%2226bc6f9-7918-54e06e2c6c140%22	http://www.csie.ntnu.edu.tw/~u91029/Curve.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Curve.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:56:01	11888/11888	---M--	200	added ('OK')	text/html	etag:%2226bcfbc-2e70-5430b9dd163c0%22	http://www.csie.ntnu.edu.tw/~u91029/Regression.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Regression.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:56:02	17721/17721	---M--	200	added ('OK')	text/html	etag:%2226bc71a-4539-5437f3387d200%22	http://www.csie.ntnu.edu.tw/~u91029/Estimation.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Estimation.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
22:56:02	51771/51771	---M--	200	added ('OK')	text/html	etag:%2226bc6ee-ca3b-54d8e0e1c8c40%22	http://www.csie.ntnu.edu.tw/~u91029/Classification.html	C:/My%20Websites/%e6%bc%94%e7%ae%97%e6%b3%95%e7%ad%86%e8%a8%98/www.csie.ntnu.edu.tw/_u91029/Classification.html	(from http://www.csie.ntnu.edu.tw/~u91029/)
